Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
31.10.2007;99.6792;101.0371;100.8217;101.0325;92.3407;100.5073;112.2354
30.11.2007;100.1336;101.0002;100.7399;101.7869;92.7627;101.7191;109.7185
31.12.2007;100.3771;101.4545;101.2027;103.0136;92.8152;101.9165;110.5464
31.01.2008;100.0885;102.3679;102.1855;104.4435;92.9223;102.4629;112.9869
29.02.2008;100.2261;102.4123;102.2226;105.0884;94.0873;103.194;109.8486
31.03.2008;100.5651;102.5968;102.4175;105.6901;93.808;103.9764;109.5989
30.04.2008;101.3596;102.7348;102.5373;105.0205;94.1809;103.6181;110.5448
31.05.2008;102.1644;103.3517;103.2735;104.7592;95.3372;104.0385;112.6388
30.06.2008;102.3373;104.0041;103.9102;105.3345;95.702;103.8484;115.0294
31.07.2008;101.8913;104.0417;103.9663;105.4625;96.4698;104.957;113.7472
31.08.2008;101.6259;103.7859;103.7025;106.2964;96.3796;105.8209;109.6473
30.09.2008;101.7284;104.7471;104.5593;106.6677;97.33;105.3143;111.6253
31.10.2008;102.2689;104.999;104.8242;106.3082;97.259;105.6543;112.7873
30.11.2008;101.5878;104.4433;104.2579;106.8065;97.9021;105.9836;107.5793
31.12.2008;101.0807;104.578;104.5129;106.5209;97.4121;106.0657;110.1094
31.01.2009;100.2278;104.4563;104.2991;105.9555;97.2079;104.703;112.2434
28.02.2009;100.4641;104.7402;104.6447;106.0525;97.0372;104.5524;113.7738
